region,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan-feb,mar-may,jun-sep,oct-dec,winter,summer,monsoon,post_monsoon,annual_calc
ARUNACHAL PRADESH,1976,8.9,112.9,168.0,229.3,210.7,506.3,375.4,357.4,177.5,139.7,87.9,45.6,2419.5,121.8,608.0,1416.7,273.1,121.80000000000001,608.0,1416.6,273.2,2419.6
ARUNACHAL PRADESH,1977,71.2,133.5,209.3,560.2,417.8,543.5,484.7,610.1,311.9,213.5,141.0,77.7,3774.3,204.6,1187.3,1950.2,432.2,204.7,1187.3,1950.2000000000003,432.2,3774.3999999999996
ARUNACHAL PRADESH,1978,37.1,82.2,150.6,216.4,345.6,577.2,357.5,172.4,310.4,133.0,146.1,2.5,2531.0,119.3,712.6,1417.4,281.6,119.30000000000001,712.6,1417.5,281.6,2531.0
ARUNACHAL PRADESH,1979,47.4,81.6,138.2,158.8,210.3,239.4,665.4,296.9,417.5,409.6,27.4,81.2,2773.6,129.0,507.2,1619.2,518.3,129.0,507.3,1619.1999999999998,518.2,2773.7
ARUNACHAL PRADESH,1980,65.6,130.4,251.4,372.0,245.5,530.9,514.1,544.7,367.4,185.4,7.8,0.2,3215.3,195.9,868.9,1957.1,193.3,196.0,868.9,1957.1,193.4,3215.4000000000005
ARUNACHAL PRADESH,1981,93.1,136.1,255.2,197.4,285.0,494.9,549.3,360.6,262.6,71.8,29.3,55.5,2790.9,229.2,737.6,1667.4,156.7,229.2,737.6,1667.3999999999996,156.6,2790.8
ARUNACHAL PRADESH,1982,6.4,100.4,151.2,335.3,241.4,429.8,593.0,197.0,526.6,82.3,53.8,62.2,2779.5,106.8,727.9,1746.4,198.3,106.80000000000001,727.9,1746.4,198.3,2779.4
ARUNACHAL PRADESH,1983,65.4,171.1,217.6,351.2,301.9,551.0,563.2,389.9,476.4,191.7,14.9,40.8,3335.3,236.5,870.7,1980.6,247.4,236.5,870.6999999999999,1980.5,247.39999999999998,3335.1
ARUNACHAL PRADESH,1984,98.1,42.8,166.9,389.3,448.7,417.3,671.0,309.2,455.5,184.1,5.7,89.5,3278.0,140.8,1004.9,1853.0,279.3,140.89999999999998,1004.9000000000001,1853.0,279.29999999999995,3278.0999999999995
ARUNACHAL PRADESH,1985,54.1,81.0,255.6,347.1,345.5,506.0,657.8,326.3,502.2,116.6,25.4,48.8,3266.2,135.0,948.2,1992.2,190.7,135.1,948.2,1992.3,190.8,3266.4
ARUNACHAL PRADESH,1986,19.3,90.1,122.8,335.3,101.8,402.5,453.7,355.3,387.6,176.6,36.6,14.0,2495.6,109.5,559.8,1599.1,227.2,109.39999999999999,559.9,1599.1,227.2,2495.6
ARUNACHAL PRADESH,1987,3.7,72.5,147.7,352.0,230.8,501.5,754.9,558.8,646.6,101.1,24.1,39.6,3433.2,76.2,730.4,2461.9,164.8,76.2,730.5,2461.8,164.79999999999998,3433.2999999999993
ARUNACHAL PRADESH,1988,50.9,118.3,250.7,278.9,535.9,287.0,868.1,815.6,486.3,416.4,34.2,13.1,4155.3,169.2,1065.4,2457.0,463.6,169.2,1065.5,2457.0,463.7,4155.4
ARUNACHAL PRADESH,1989,52.6,171.9,92.9,388.7,239.7,484.2,640.7,305.3,526.5,281.7,77.9,19.6,3281.6,224.5,721.2,1956.8,379.1,224.5,721.3,1956.7,379.20000000000005,3281.7
ARUNACHAL PRADESH,1990,54.8,112.4,149.0,289.9,366.2,857.2,534.0,352.8,625.5,240.6,2.0,19.7,3604.0,167.2,805.1,2369.5,262.3,167.2,805.0999999999999,2369.5,262.3,3604.1
ARUNACHAL PRADESH,1991,24.9,86.0,110.7,193.3,423.7,608.3,607.7,603.4,484.5,189.0,22.2,80.8,3434.4,110.9,727.7,2303.9,291.9,110.9,727.7,2303.9,292.0,3434.5000000000005
ARUNACHAL PRADESH,1992,33.2,128.9,184.6,196.4,239.2,522.9,557.2,294.3,328.2,201.5,11.5,8.9,2707.0,162.1,620.3,1702.7,221.8,162.10000000000002,620.2,1702.6,221.9,2706.7999999999997
ARUNACHAL PRADESH,1993,95.7,125.4,134.4,130.6,408.3,569.5,619.2,691.9,323.1,228.6,14.7,7.5,3348.9,221.1,673.3,2203.7,250.8,221.10000000000002,673.3,2203.7,250.79999999999998,3348.9
ARUNACHAL PRADESH,1994,48.2,72.6,215.3,232.1,382.9,416.1,233.0,280.2,225.0,161.6,14.1,6.2,2287.4,120.8,830.3,1154.4,181.9,120.8,830.3,1154.3,181.89999999999998,2287.2999999999997
ARUNACHAL PRADESH,1995,20.6,79.9,84.3,198.8,363.9,686.9,714.5,328.8,425.1,82.4,51.0,32.6,3068.8,100.5,647.1,2155.2,166.0,100.5,647.0,2155.3,166.0,3068.8
ARUNACHAL PRADESH,1996,35.7,56.2,163.6,171.4,398.2,316.2,593.0,372.1,191.2,212.5,9.1,1.4,2520.5,91.8,733.1,1472.5,223.0,91.9,733.2,1472.5000000000002,223.0,2520.6
ARUNACHAL PRADESH,1997,26.2,68.5,158.5,94.7,212.6,548.0,395.2,237.0,403.5,58.5,45.9,26.3,2274.9,94.6,465.8,1583.7,130.7,94.7,465.79999999999995,1583.7,130.70000000000002,2274.9
ARUNACHAL PRADESH,1998,26.7,78.8,193.6,125.0,275.0,839.8,823.8,807.0,236.8,187.2,20.5,2.5,3616.7,105.6,593.6,2707.4,210.2,105.5,593.6,2707.4,210.2,3616.7
ARUNACHAL PRADESH,1999,7.9,6.1,40.4,159.6,343.2,450.0,376.9,438.1,254.0,207.9,28.3,4.3,2316.6,14.0,543.2,1519.0,240.4,14.0,543.2,1519.0,240.50000000000003,2316.7000000000003
ARUNACHAL PRADESH,2000,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.6,2596.8,101.2,700.8,1650.0,144.8,101.2,700.9000000000001,1650.0,144.79999999999998,2596.9000000000005
ARUNACHAL PRADESH,2001,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,2036.0,119.7,560.5,1147.8,208.0,119.69999999999999,560.4,1147.8,208.00000000000003,2035.9
ARUNACHAL PRADESH,2002,74.2,37.2,126.3,248.2,197.1,396.8,604.0,290.7,257.9,94.0,45.0,17.9,2389.2,111.4,571.6,1549.4,156.9,111.4,571.6,1549.4,156.9,2389.3
ARUNACHAL PRADESH,2003,22.9,83.2,109.6,182.0,173.5,424.3,645.3,327.2,259.9,182.6,25.0,16.2,2451.8,106.1,465.2,1656.6,223.9,106.1,465.1,1656.6999999999998,223.79999999999998,2451.7
